"title","description","task_status_id","created","updated"
"Go to starbucks","Go to shop and buy 5 cups of coffee for development team","1","2019-04-22 06:21:30","2020-07-21 09:21:57"
"Fix homepage cart bug","Homepage cart not displaying","2","2019-02-22 06:21:30","2020-07-22 09:21:57"
"Fix rest api request for list/users endpoint","Endpoint doesn't work","2","2019-02-01 06:22:30","2020-07-21 09:21:57"
"Call client and discuss changes in public api","Make a call to client and discuss all changes to be done in public api","1","2019-02-26 06:21:30","2020-05-28 09:21:57"
"Tests coverage for database connection","Make mock tests for db connection","3","2019-02-22 06:21:30","2020-05-25 09:21:57"
"Order a pizza","Order pizza from StarPizza","1","2019-02-22 06:21:30","2020-01-28 09:21:57"
"Normalize db table","Normalize stock table in database","2","2019-02-16 06:21:30","2020-05-28 09:21:57"
"Prepare db migration","Make a research for db migration","3","2019-02-25 06:21:30","2020-05-28 09:21:57"
"Change public API","Refactor stock public API","3","2019-02-18 06:21:30","2020-05-28 09:21:57"
"Customer logging","Make logging for customer class","3","2019-02-15 06:21:30","2020-05-28 09:21:57"
"Refactor stock db queries","Refactor all stock db queries","2","2020-03-22 06:21:30","2020-05-28 09:21:57"
"Call new client","Call new client and discuss the new project","2","2019-02-20 06:22:30","2020-05-28 09:21:57"
"Make a presentation","Prepare a presentation for tomorrow about HATEOAS","3","2019-02-21 06:21:36","2020-05-28 09:21:57"

